TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
14.09,Debit,San Diego,ATM,Senior,Doctor,81.0,1.0,5112.21,0
376.24,Debit,Houston,ATM,Senior,Doctor,141.0,1.0,13758.91,2
126.29,Debit,Mesa,Online,Youth,Student,56.0,1.0,1122.35,2
184.5,Debit,Raleigh,Online,Youth,Student,25.000000000000004,1.0,8569.06,0
13.45,Credit,Atlanta,Online,Adult,Student,198.0,1.0,7429.4,1
92.15,Debit,Oklahoma City,ATM,Youth,Student,172.0,1.0,781.68,2
7.08,Credit,Seattle,ATM,Youth,Doctor,139.0,1.0,13316.71,0
171.42,Credit,Indianapolis,Branch,Senior,Retired,291.0,1.0,2796.24,2
106.23,Credit,Detroit,Branch,Adult,Engineer,86.0,1.0,9095.14,1
815.96,Debit,Nashville,ATM,Adult,Doctor,120.0,1.0,1021.8800000000001,2
17.78,Credit,Albuquerque,Online,Adult,Engineer,59.00000000000001,1.0,7599.5199999999995,1
190.02,Debit,Memphis,Online,Youth,Student,173.0,1.0,1528.81,2
494.52,Credit,Mesa,Branch,Youth,Student,111.0,1.0,1620.02,2
781.76,Debit,Memphis,ATM,Youth,Student,123.0,1.0,189.69,2
166.99,Debit,Louisville,Online,Youth,Student,134.0,1.0,299.93,2
465.45,Debit,Denver,ATM,Youth,Engineer,129.0,1.0,3465.54,1
555.8,Credit,Austin,Branch,Youth,Student,158.0,1.0,1131.26,1
492.93,Debit,Columbus,Online,Adult,Engineer,234.0,1.0,5109.97,1
18.68,Credit,Albuquerque,Branch,Adult,Retired,106.0,1.0,7948.369999999999,1
71.48,Credit,Columbus,Online,Youth,Student,169.0,1.0,6568.59,1
59.32,Debit,Los Angeles,Branch,Senior,Retired,37.99999999999999,1.0,5750.89,2
85.77,Debit,Las Vegas,Branch,Youth,Doctor,93.0,1.0,9146.19,2
52.2,Debit,Atlanta,Online,Adult,Engineer,120.0,1.0,8974.93,1
345.84,Debit,Fort Worth,Online,Youth,Student,142.0,1.0,1402.5,1
145.54,Debit,Raleigh,Online,Youth,Student,96.0,1.0,1930.96,0
7.49,Credit,Houston,Online,Senior,Retired,276.0,1.0,3634.67,2
246.93,Debit,Miami,ATM,Youth,Student,158.0,1.0,673.3499999999999,2
40.32,Debit,Milwaukee,Branch,Youth,Engineer,95.0,1.0,2686.52,2
127.45,Debit,Las Vegas,Online,Adult,Doctor,197.0,1.0,1772.06,2
56.17,Debit,Detroit,Branch,Youth,Student,283.0,1.0,1351.69,1
28.31,Credit,Miami,Online,Adult,Doctor,20.0,1.0,8334.47,2
59.12,Debit,Baltimore,ATM,Youth,Doctor,257.0,1.0,9823.64,1
396.45,Debit,New York,ATM,Adult,Engineer,168.00000000000003,1.0,9690.15,2
877.81,Debit,Los Angeles,Online,Youth,Student,150.0,1.0,399.0,2
255.26,Credit,San Francisco,Branch,Adult,Doctor,50.00000000000001,1.0,14815.87,0
124.76,Debit,Seattle,Branch,Adult,Engineer,45.0,1.0,5764.72,0
78.13,Debit,Milwaukee,Branch,Youth,Student,145.0,1.0,900.61,2
649.28,Debit,San Jose,ATM,Senior,Retired,137.0,1.0,4875.86,0
795.31,Debit,Mesa,ATM,Senior,Doctor,90.0,1.0,7914.879999999999,2
335.63,Debit,Oklahoma City,Online,Adult,Retired,215.99999999999997,1.0,1019.39,2
328.47,Debit,San Antonio,ATM,Senior,Retired,119.0,1.0,4323.66,0
34.02,Debit,Philadelphia,Online,Youth,Doctor,18.999999999999996,1.0,14214.48,0
241.42000000000002,Credit,Charlotte,Online,Adult,Doctor,116.00000000000001,1.0,13357.02,1
55.32,Debit,Tucson,ATM,Youth,Student,117.0,1.0,241.79000000000002,0
304.31,Debit,Louisville,Branch,Youth,Student,33.0,1.0,868.61,2
435.27,Debit,Chicago,Branch,Senior,Retired,90.0,1.0,4673.28,1
164.49,Debit,Baltimore,Branch,Youth,Student,75.0,1.0,1509.27,1
510.23999999999995,Debit,Oklahoma City,Online,Youth,Student,105.0,1.0,781.7,2
626.9,Debit,Denver,Online,Youth,Student,138.0,1.0,265.51,1
22.01,Credit,Sacramento,Online,Adult,Engineer,175.0,1.0,1335.09,0
425.34,Credit,Kansas City,Online,Senior,Retired,121.0,1.0,3907.5399999999995,2
424.56,Debit,Omaha,Online,Adult,Engineer,264.0,1.0,5183.85,0
85.43,Debit,Virginia Beach,Branch,Senior,Doctor,145.0,1.0,14904.9,0
169.5,Debit,San Diego,Branch,Youth,Student,142.0,1.0,918.8799999999999,0
104.63,Debit,Omaha,ATM,Senior,Retired,90.0,1.0,4477.78,0
316.95,Debit,Mesa,Branch,Youth,Student,83.0,1.0,1324.03,2
60.540000000000006,Credit,Columbus,Branch,Adult,Retired,52.00000000000001,1.0,3534.93,1
292.56,Credit,Dallas,Branch,Senior,Retired,61.00000000000001,1.0,4638.37,1
386.52,Debit,Indianapolis,Branch,Adult,Engineer,28.0,1.0,5630.61,2
112.07,Debit,Kansas City,Branch,Youth,Student,51.00000000000001,1.0,930.3,2
568.52,Debit,Indianapolis,ATM,Adult,Engineer,151.99999999999997,1.0,5499.91,2
263.99,Debit,Dallas,Branch,Senior,Retired,227.0,1.0,4175.02,1
